ID,Description,Source
1-1,əwɨ(-rə),
2-1,əmə(-rə),
3-1,(ap)ina,
3-2,t͡ʃimna,
3-3,,
3-4,,
4-1,(tj)ərə,
4-2,(tj)ənɨ,
4-3,,
4-4,,
4-5,,
4-6,,
4-7,,
4-8,,
5-1,mərə,
5-2,,
5-3,,
5-4,,
7-1,əti,
7-2,,
7-3,,
7-4,,
7-5,,
7-6,,
7-7,,
7-8,,
7-9,,
6-1,ənəkɨ,
6-2,,
6-3,,
8-1,pɨra,
8-2,-t͡ʃe-wa,
8-3,,
9-1,əmerə,
9-2,ompan,
9-3,,
9-4,,
9-5,,
9-6,,
9-7,,
9-8,,
9-9,,
9-10,,
9-11,,
9-12,,
9-13,,
9-14,,
9-15,,
9-16,,
9-17,,
9-18,,
10-1,tuʔke,
10-2,kure,
10-3,əpe,
10-4,,
10-5,,
10-6,,
10-7,,
10-8,,
10-9,,
10-10,,
10-11,,
10-12,,
10-14,,
10-15,,
10-16,,
10-17,,
11-1,təwinə,
11-2,anane,
11-3,,
11-4,,
11-5,,
11-6,,
11-7,,
11-8,,
11-9,,
12-1,atjəkənə; atjəkəne,
12-2,,
12-3,,
13-1,mono me,
13-2,pori me,
13-3,eke,
13-4,[t]apoto[i],
13-5,,
13-6,,
13-7,,
13-8,,
13-9,,
13-10,,
13-11,,
13-12,,
13-13,,
13-14,,
13-15,,
13-16,,
14-1,kawo,
14-2,mɨCa,
14-11,,
14-4,,
14-5,,
14-6,,
14-7,,
14-8,,
14-9,,
14-10,,
14-3,kusan,
14-12,,
14-13,,
14-14,,
14-15,,
14-16,,
14-17,,
15-1,pitikə,
15-3,,
15-5,,
15-6,,
15-17,,
15-2,,
15-7,,
15-8,,
15-9,,
15-10,,
15-11,,
15-12,,
15-13,,
15-14,,
15-15,,
15-16,,
15-18,,
16-1,wərɨti,
16-2,petkom,
16-3,,
16-4,,
17-1,[wo]kɨrɨ,
17-10,,
17-2,ugwono,
17-3,wara,
17-4,,
17-5,,
17-6,,
17-7,,
17-8,,
18-1,mumuku,
18-2,mure,
18-4,,
18-5,,
18-3,CVne,
18-6,,
19-1,moroko,
19-2,woto,
19-3,kana,
19-4,,
19-5,,
19-6,,
19-7,,
19-8,,
19-9,,
20-1,tonoro; torono,
20-2,tarim,
20-3,,
20-4,,
20-5,,
20-6,,
22-1,wajamə,
22-2,kajamə,
23-1,jəje,
23-2,wewe,
24-1,jatpə,
24-2,arɨ,
24-3,enatpə,
24-4,əpɨ[rɨ],
24-5,eputupə,
24-7,,
24-8,,
25-1,[j]are; [j]arɨ,
25-3,,
25-4,,
25-5,,
25-2,eta,
26-1,miti,
26-2,kara,
26-3,,
26-4,,
26-5,,
26-6,,
28-1,pitupə,
28-2,,
29-1,punu,
30-1,munu,
30-2,kamituku,
30-3,mituku,
30-4,,
31-1,jətɨpə,
33-1,pumoi,
33-2,,
32-1,,
32-2,,
32-3,,
32-4,,
34-1,retɨ,
34-2,panajaʃɨrɨ,
34-10,,
34-3,,
34-4,,
34-5,,
34-6,,
34-7,,
34-8,,
34-9,,
35-1,arokɨ,
35-3,əkwɨ,
35-2,matkɨ,
35-5,,
35-6,,
35-7,,
35-8,,
35-9,,
35-10,,
35-4,jareʔnə,
35-11,,
35-12,,
35-13,,
35-14,,
35-15,,
36-1,apə,
36-2,[t]itpotɨ,
