"Example_ID","Language_ID","Sentence","Segmentation","Gloss","Translation","Source","Orig_Segmentation","Orig_Glossing","Orig_Translation","Comment","Morpheme_IDs"
"ing-10","inga1250","urə əʔpə","urə əʔpə","1.PRO bone","my bone","cruz2005fonologia[164]","","","","","X X"
"ing-11","inga1250","uj-əʔpə","uj-əʔpə","1-bone","my bone","cruz2005fonologia[164]","","","","","X-X"
"ing-12","inga1250","əmərə əʔpə","əmərə əʔpə","2SG.PRO bone","your bone","cruz2005fonologia[164]","","","","","X X"
"ing-13","inga1250","əj-əʔpə","əj-əʔpə","2-bone","your bone","cruz2005fonologia[164]","","","","","X-X"
"ing-15","inga1250","uj-əʔpə-noʔkon","uj-əʔpə-noʔkon","1-bone-PL","our bone","cruz2005fonologia[164]","","","","","X-X-X"
"ing-16","inga1250","ina əʔpə","ina əʔpə","1+3 bone","our bone","cruz2005fonologia[164]","","","","","X X"
"ing-17","inga1250","kɨrərə əʔpə","kɨrərə əʔpə","3SG.ANIM.PRO bone","his/her bone","cruz2005fonologia[164]","","","","","X X"
"ing-18","inga1250","it-əʔpə","it-əʔpə","3-bone","his/her bone","cruz2005fonologia[164]","","","","","X-X"
"ing-19","inga1250","toʔ əʔpə","toʔ əʔpə","3PL bone","their bone","cruz2005fonologia[164]","","","","","X X"
"ing-20","inga1250","it-əʔpə-kon","it-əʔpə-kon","3-bone-PL","their bone","cruz2005fonologia[164]","","","","","X-X-X"
"ing-21","inga1250","t-əʔpə","t-əʔpə","COR-bone","his/her (own) bone","cruz2005fonologia[164]","","","","","X-X"
"ing-22","inga1250","tɨ-warə j-ə-wə-pətɨ","tɨ-warə j-ə-wə-pətɨ","COR-for 3-DETRZ-kill-ITER","He/she is killing him-/herself.","cruz2005fonologia[165]","","","","","X-X X-X-X-X"
"ing-23","inga1250","kɨrərə ennapo-saʔ","kɨrərə ennapo-saʔ","3SG.ANIM.PRO return-PFV","He/she came back.","cruz2005fonologia[193]","","","","","X X-X"
"ing-24","inga1250","kamoro ennapo-saʔ","kamoro ennapo-saʔ","3PL.ANIM.PRO return-PFV","They came back.","cruz2005fonologia[193]","","","","","X X-X"
"ing-25","inga1250","kamo jamə ennapo-saʔ","kamo jamə ennapo-saʔ","3PL.ANIM.PRO PL return-PFV","They came back.","cruz2005fonologia[193]","","","","","X X X-X"
"ing-26","inga1250","mərə paran nɨʔ panka toʔ uja","mərə paran nɨʔ panka toʔ uja","INAN.MED disease REL cure 3PL ERG","They are the ones who cure diseases.","cruz2005fonologia[194]","","","","","X X X X X X"
"ing-27","inga1250","əʔrə mɨ-koneka-tə-i te-ʔpɨ-i-ja","əʔrə mɨ-koneka-tə-i te-ʔpɨ-i-ja","Q.INAN 2-do-PL-IMP say-PST-3-ERG","What did he tell you to do?","cruz2005fonologia[198]","","","","","X X-X-X-X X-X-X-X"
"ing-28","inga1250","əʔrə aʔtai se kupə-ʔp-au-ja","əʔrə aʔtai se kupə-ʔp-au-ja","Q.INAN TEMP DEM.PROX.INAN to-PST-2-ERG","When did you do this?","cruz2005fonologia[198]","","","","","X X X X-X-X-X"
"ing-29","inga1250","əʔrə kaisarə aj-emenetə esi","əʔrə kaisarə aj-emenetə esi","Q.INAN equal 2-weigh be","How much do you weigh?","cruz2005fonologia[198]","","","","","X X X-X X"
"ing-30","inga1250","əʔrə kaisarə t-epeʔ esi-ʔpɨ","əʔrə kaisarə t-epeʔ esi-ʔpɨ","Q.INAN equal COR-worth be-PST","How much did this cost?","cruz2005fonologia[198]","","","","","X X X-X X-X"
"ing-31","inga1250","əʔrə peʔ ij-esi pəʔ se kupə-ʔp-au-ja","əʔrə peʔ ij-esi pəʔ se kupə-ʔp-au-ja","Q.INAN Q 3-be INS PROX.DEM.INAN do-PST-2-ERG","Why did you do that with him/her?","cruz2005fonologia[198]","","","","","X X X-X X X X-X-X-X"
"ing-32","inga1250","ni jau sərə nai","ni jau sərə nai","where in PROX.DEM.INAN 3.be","Wherein is it?","cruz2005fonologia[199]","","","","","X X X X"
"ing-33","inga1250","ni jaʔ əmərə tə-ʔpɨ","ni jaʔ əmərə tə-ʔpɨ","where to 2.PRO go-PST","Where did you go?","cruz2005fonologia[199]","","","","","X X X X-X"
"ing-34","inga1250","əmərə-ʔnokon ja peʔ woʔ aʔnɨmɨ-ʔpɨ?","əmərə-ʔnokon ja peʔ woʔ aʔnɨmɨ-ʔpɨ?","2.PRO-PL ERG Q game catch-PST","Did you get any game (animals)?","cruz2005fonologia[200]","","","","","X-X X X X X-X"
"ing-36","inga1250","urə uja ə-ʔta-kon jamə wasaka peʔ","urə uja ə-ʔta-kon jamə wasaka peʔ","1.PRO ERG 2-foot-PL PL step Q","Did I step on your feet?","cruz2005fonologia[200]","","","","","X X X-X-X X X X"
"ing-37","inga1250","mɨ-wənə-i peʔ?","mɨ-wənə-i peʔ?","2-kill-REC Q","Did you kill him/her?","cruz2005fonologia[200]","","","","","X-X-X X"
"ing-38","inga1250","əʔrə an-tə-pai si u-pijaʔ?","əʔrə an-tə-pai si u-pijaʔ?","Q.INAN 3-give-DES want 1-to","What does he/she want to give me?","cruz2005fonologia[200]","","","","","X X-X-X X X-X"
"ing-39","inga1250","ənɨʔ eraʔma-ʔpɨ əmərə uja?","ənɨʔ eraʔma-ʔpɨ əmərə uja?","Q.ANIM see-PST 2.PRO ERG","Who did you see?","cruz2005fonologia[201]","","","","","X X-X X X"
"ing-40","inga1250","ənɨʔ uja kanau ena-ʔpɨ martin","ənɨʔ uja kanau ena-ʔpɨ martin","Q.ANIM ERG canoe buy-PST M.","Who bought Martin's canoe?","cruz2005fonologia[201]","","","","","X X X X-X X"
"ing-44","inga1250","ənɨʔ əmərə?","ənɨʔ əmərə?","Q.ANIM 2.PRO","Who are you?","cruz2005fonologia[201]","","","","","X X"
"ing-45","inga1250","kɨrərə uja kaikusi aj-anɨ-ʔpɨ","kɨrərə uja kaikusi aj-anɨ-ʔpɨ","3SG.ANIM.PRO ERG jaguar 3-eat.meat-PST","He/she ate the jaguar.","cruz2005fonologia[248]","","","","","X X X X-X-X"
"ing-47","inga1250","j-aʔt=au-ja","j-aʔt=au-ja","3-cut=2-ERG","You will cut him/her.","cruz2005fonologia[282]","","","","","X-X=X-X"
"hix-1","hixk1239","w-ama-no","w-ama-no","1>3-fell-HOD","I felled it.","hixkaryanaderby1985[4]","","","","","X-X-X"
"hix-2","hixk1239","k-omok-no","k-omok-no","1-come-HOD","I have come.","hixkaryanaderby1985[4]","","","","","X-X-X"
"hix-4","hixk1239","o-n-hananɨhɨ-thɨ-jamo","o-n-hananɨhɨ-thɨ-jamo","2-NMLZ.PAT-teach-PST.POSS-PL","The ones that taught you.","hixkaryanaderby1985[5]","","","","","X-X-X-X-X"
"hix-5","hixk1239","theɲehra tɨ-mrʲeno-n komo j-okarʲmanɨ-rɨ kajwerʲe wja","theɲehra tɨ-mrʲeno-n komo j-okarʲmanɨ-rɨ kajwerʲe wja","then COR-people-PERT PL LK-telling.about-PERT K. OBL","the telling of many things about his people by Kaywerye.","hixkaryanaderby1985[6]","","","","","X X-X-X X X-X-X X X"
"hix-6","hixk1239","uro rʲhe ɨro ha, ro-kanawa-rɨ","uro rʲhe ɨro ha, ro-kanawa-rɨ","1SG.PRO EMP 3.INAN.PRO INTS 1-canoe-PERT","That is *my* canoe.","hixkaryanaderby1985[8]","","","","","X X X X X-X-X"
"hix-7","hixk1239","amna n-omok-no","amna n-omok-no","EXCl 3-come-HOD","We have come","hixkaryanaderby1985[9]","","","","","X X-X-X"
"hix-9","hixk1239","amna hok-ru","amna hok-ru","1+3 child-PERT","our child","hixkaryanaderby1985[9]","","","","","X X-X"
"hix-10","hixk1239","noro hok-ru","noro hok-ru","3SG.ANIM.PRO child-PERT","his child","hixkaryanaderby1985[9]","","","","","X X-X"
"hix-11","hixk1239","ɨ-hok-ru","ɨ-hok-ru","3-child-PERT","his child","hixkaryanaderby1985[9]","","","","","X-X-X"
"ikp-2","ikpe1245","m-arep?","m-arep?","2-arrive","Did you arrive?","ikpengpacheco2001[45]","","","","","X-X"
"ikp-3","ikpe1245","k-arep-lɨ","k-arep-lɨ","1-return-HOD","I came back.","ikpengpacheco2001[45]","","","","","X-X-X"
"ikp-5","ikpe1245","g-emin-ke","g-emin-ke","1-belly-ADVZ","I'm hungry.","ikpengpacheco2001[46]","","","","","X-X-X"
"ikp-7","ikpe1245","k-ineŋ-lɨ","k-ineŋ-lɨ","1>2-see-HOD","I saw you.","ikpengpacheco2001[70]","","","","","X-X-X"
"ikp-8","ikpe1245","j-eneŋ-lɨ","j-eneŋ-lɨ","1>3-see-HOD","I saw him/her.","ikpengpacheco2001[70]","","","","","X-X-X"
"ikp-9","ikpe1245","k-aranme-lɨ","k-aranme-lɨ","1-run-HOD","I ran","ikpengpacheco2001[70]","","","","","X-X-X"
"ikp-12","ikpe1245","m-eneŋ-lɨ","m-eneŋ-lɨ","2-see-HOD","You saw him/her.","ikpengpacheco2001[70]","","","","","X-X-X"
"ikp-15","ikpe1245","kur-eneŋ-lɨ","kur-eneŋ-lɨ","1+2>3-see-HOD","We saw him/her.","ikpengpacheco2001[70]","","","","","X-X-X"
"ikp-16","ikpe1245","kw-aranme-lɨ","kw-aranme-lɨ","1+2-run-HOD","We ran.","ikpengpacheco2001[70]","","","","","X-X-X"
"ikp-18","ikpe1245","ɨ-laglu","ɨ-laglu","1-saliva","my saliva","ikpengpacheco2001[96]","","","","","X-X"
"ikp-20","ikpe1245","tɨ-woj-n ɨpe lon wam ikpeŋ","tɨ-woj-n ɨpe lon wam ikpeŋ","COR-clothes-PERT PRED also DEM.PL.ANIM.PROX I.","The Ikpeng also have clothes.","ikpengpacheco2001[113]","","","","","X-X-X X X X X"
"ikp-21","ikpe1245","tɨ-woj-k ɨlon wam ikpeŋ","tɨ-woj-k ɨlon wam ikpeŋ","COR-clothes-ADVZ also DEM.PL.ANIM.PROX I.","The Ikpeng are (arriving) clothed.","ikpengpacheco2001[114]","","","","","X-X-X X X X"
